platform,keyword,video_id,comment
tiktok,ai,7574599858456218887,"Sử dụng AI gây ảnh hưởng tới môi trường rất nhiều, ví dụ khi hỏi một câu trên chat gpt thì đã tiêu thụ 2,9 Wh điện tức là gấp 10 lần tiêu thụ cho 1 câu hỏi trên google, chưa kể AI cũng tiêu thụ nước cần khoảng 0,5 lít nước để tạo 10-50 phản hồi. Hoặc là việc huấn luyện mấy con AI chatbot cũng tạo ra khoảng 300 tấn khí nhà kính CO2"
tiktok,ai,7574599858456218887,Linh nhạc thật hoang dã
tiktok,ai,7574599858456218887,AI là ai hỏi nhé
tiktok,ai,7574599858456218887,Ai mà
tiktok,ai,7574599858456218887,Peter và chio💀🥀
tiktok,ai,7574599858456218887,"Nhiều kid spam ""STOP AI🥀"""
tiktok,ai,7574599858456218887,"CHÚ Ý CHO THẾ GIỚI CỦA CHÚNG TÔI‼️Xin hãy giúp đỡ những con gấu Bắc Cực bằng cách
1: Không sử dụng trí tuệ nhân tạo.
2: Sử dụng Ecosia thay vì Google, Ecosia trồng một cây cứ sau 45 lần tìm kiếm
3: Sử dụng chai có thể nạp lại và tái sử dụng
Tắt đèn khi không cần thiết hoặc khi rời khỏi phòng.
5: Ngừng ném rác, ném rác vào thùng rác, không ném xuống đất; đó là những gì các thùng rác được sử dụng. Ngay cả việc thu thập những mảnh rác nhỏ nhất cũng sẽ hiệu quả.
Vui lòng đăng tin nhắn này. ‼️"
tiktok,ai,7574599858456218887,@I miss you....!:chúng m cs thôi AI đi chx
tiktok,ai,7574599858456218887,Ê Kim thương ơi giả đó thấy Sora ai đó
tiktok,ai,7574599858456218887,AI AI á Ở dưới có từ nhà sáng tạo đã gắn nhãn do Ai tạo
tiktok,ai,7574599858456218887,"bà gì t hỏi ""cái j thấy ghê quá z thật nek tr""..."
tiktok,ai,7574599858456218887,ᥬ😳ᩤ. anh trai phiên bản nhỏ
tiktok,ai,7574599858456218887,"CHÚ Ý CHO THẾ GIỚI CỦA CHÚNG TÔI‼️Xin hãy giúp đỡ những con gấu Bắc Cực bằng cách
1: Không sử dụng trí tuệ nhân tạo.
2: Sử dụng Ecosia thay vì Google, Ecosia trồng một cây cứ sau 45 lần tìm kiếm
3: Sử dụng chai có thể nạp lại và tái sử dụng
Tắt đèn khi không cần thiết hoặc khi rời khỏi phòng.
5: Ngừng ném rác, ném rác vào thùng rác, không ném xuống đất; đó là những gì các thùng rác được sử dụng. Ngay cả việc thu thập những mảnh rác nhỏ nhất cũng sẽ hiệu quả.
Vui lòng đăng tin nhắn này. ‼️"
tiktok,ai,7574599858456218887,Tomie hả
tiktok,ai,7574599858456218887,Ai mà
